Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,53.08%,30.33%,140.72%,23.38%,130.22,0.1736,1.5802,0.068,0.803,0.921,0.047
2,0.98,0.95,NO,N/A,40.57%,25.28%,94.64%,19.69%,104.26,0.1288,0.7299,0.045,0.392,0.946,0.556
3,0.83,0.63,NO,N/A,26.52%,22.19%,103.47%,16.51%,96.32,0.1067,0.7154,0.038,0.437,0.952,0.499
4,0.98,0.93,NO,N/A,19.07%,21.08%,83.43%,14.67%,96.99,11.7064,1000.0,0.021,0.23,0.974,0.691
5,0.98,0.94,NO,N/A,14.64%,19.32%,82.21%,13.15%,96.73,23.3289,1000.0,0.016,0.23,0.98,0.69
6,0.76,-0.02,NO,N/A,12.52%,18.39%,69.69%,12.35%,82.96,11.6946,1000.0,0.013,0.194,0.984,0.723
7,0.76,-0.15,NO,N/A,10.99%,20.56%,50.59%,12.75%,53.71,0.0697,0.1991,0.011,0.118,0.986,0.783
8,0.92,0.68,YES,4.81e-02,9.55%,15.83%,39.3%,10.33%,26.37,0.049,0.1788,0.007,0.035,0.991,0.923
9,0.77,-0.32,NO,N/A,7.89%,15.7%,39.03%,10.13%,26.25,0.0488,0.176,0.006,0.033,0.992,0.926
10*,0.8,0.35,YES,Most Stab Sigs,6.11%,15.24%,38.77%,9.14%,25.69,0.0457,0.1742,0.005,0.033,0.993,0.928
11,0.67,-0.19,NO,N/A,6.1%,15.39%,38.43%,9.05%,26.14,0.0458,0.174,0.005,0.031,0.993,0.931
12,0.58,-0.38,NO,N/A,5.83%,14.75%,38.31%,8.57%,25.85,0.0447,0.1739,0.005,0.031,0.993,0.933
13,0.51,-0.32,NO,N/A,5.78%,14.73%,38.48%,8.56%,26.07,0.045,0.1754,0.005,0.031,0.994,0.933
14,0.44,-0.45,NO,N/A,5.65%,14.51%,38.32%,8.43%,25.95,0.0439,0.1778,0.005,0.031,0.994,0.932
15,0.39,-0.37,NO,N/A,5.72%,14.74%,37.74%,8.62%,25.95,0.0441,0.1685,0.005,0.029,0.994,0.939
16,0.33,-0.38,NO,N/A,5.48%,14.32%,36.54%,8.27%,26.16,0.0432,0.1597,0.005,0.03,0.994,0.934
17,0.29,-0.38,NO,N/A,5.54%,14.06%,37.55%,8.1%,26.52,0.0435,0.1815,0.004,0.031,0.994,0.938
18,0.28,-0.42,NO,N/A,5.27%,13.36%,33.84%,7.72%,23.79,0.042,0.1433,0.004,0.028,0.995,0.939
19,0.23,-0.4,NO,N/A,5.2%,12.98%,34.82%,7.31%,23.52,0.042,0.1602,0.004,0.027,0.995,0.94
20,0.2,-0.42,NO,N/A,5.25%,13.42%,34.42%,7.9%,24.14,0.0424,0.1374,0.004,0.029,0.995,0.938
21,0.18,-0.43,NO,N/A,5.19%,13.12%,36.61%,7.66%,24.64,0.0419,0.1608,0.004,0.031,0.995,0.942
22,0.17,-0.37,NO,N/A,5.04%,12.89%,32.75%,7.39%,23.74,0.0405,0.1143,0.004,0.028,0.995,0.94
23,0.15,-0.4,NO,N/A,5.05%,12.66%,34.32%,6.94%,22.83,0.0403,0.1235,0.004,0.026,0.995,0.944
24,0.14,-0.38,NO,N/A,5.32%,12.51%,35.59%,7.15%,23.06,0.0404,0.124,0.003,0.026,0.995,0.943
25,0.11,-0.48,NO,N/A,5.24%,12.25%,38.56%,6.83%,23.5,0.041,0.1472,0.004,0.025,0.995,0.948
