Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,58.31%,72.88%,183.4%,54.11%,102.24,0.5511,2.9582,0.177,0.742,0.771,0.081
2,1.0,1.0,YES,2.10e-06,44.41%,64.57%,180.0%,44.37%,102.95,0.4932,2.7589,0.128,0.728,0.834,0.114
3*,0.99,0.97,YES,Most Stab Sigs,36.3%,58.19%,176.13%,39.98%,96.88,0.4625,2.8027,0.11,0.717,0.852,0.173
4,0.77,0.34,NO,N/A,34.91%,57.24%,176.45%,39.54%,96.02,0.4521,2.8379,0.106,0.701,0.858,0.19
5,0.68,0.31,NO,N/A,33.61%,56.92%,177.05%,38.97%,95.33,0.4421,2.6791,0.101,0.687,0.864,0.207
6,0.55,-0.2,NO,N/A,32.84%,56.56%,177.67%,38.42%,94.59,0.4358,2.6691,0.099,0.675,0.868,0.216
7,0.51,-0.29,NO,N/A,31.75%,55.61%,177.3%,37.63%,94.26,0.4282,2.6479,0.096,0.666,0.871,0.229
8,0.46,-0.28,NO,N/A,30.99%,54.8%,178.5%,37.11%,93.98,0.4256,2.6506,0.094,0.658,0.874,0.242
9,0.4,-0.36,NO,N/A,30.4%,54.76%,175.5%,36.89%,94.06,0.4209,2.6778,0.092,0.66,0.877,0.239
10,0.38,-0.26,NO,N/A,29.31%,53.8%,173.65%,35.51%,91.98,0.4163,2.6915,0.086,0.606,0.886,0.315
11,0.36,-0.3,NO,N/A,28.96%,53.13%,177.4%,35.32%,92.22,0.4138,2.892,0.085,0.613,0.888,0.305
12,0.34,-0.18,NO,N/A,28.42%,53.02%,173.7%,34.8%,91.45,0.4076,2.5803,0.081,0.592,0.893,0.337
13,0.32,-0.26,NO,N/A,27.76%,52.34%,174.6%,33.87%,91.49,0.4072,2.5703,0.078,0.589,0.898,0.341
14,0.29,-0.23,NO,N/A,26.95%,51.71%,169.6%,32.97%,90.59,0.4025,2.3584,0.072,0.576,0.905,0.355
15,0.3,-0.17,NO,N/A,26.38%,50.9%,166.5%,31.82%,89.86,0.3969,2.5266,0.07,0.559,0.907,0.378
16,0.29,-0.24,NO,N/A,26.01%,49.9%,179.35%,31.92%,92.35,0.3871,2.3636,0.071,0.577,0.907,0.392
17,0.27,-0.13,NO,N/A,25.39%,48.61%,161.18%,31.19%,88.71,0.3853,2.5432,0.066,0.537,0.913,0.404
18,0.28,-0.13,NO,N/A,24.63%,48.04%,157.8%,30.09%,88.18,0.3826,2.3595,0.062,0.528,0.919,0.413
19,0.28,-0.06,NO,N/A,24.04%,47.64%,154.1%,29.41%,87.41,0.3771,2.5359,0.058,0.514,0.924,0.431
20,0.28,-0.11,NO,N/A,23.62%,46.93%,158.7%,28.87%,87.36,0.3706,2.3577,0.056,0.508,0.926,0.441
21,0.26,-0.06,NO,N/A,23.41%,46.13%,158.83%,28.24%,87.77,0.3606,2.038,0.054,0.518,0.929,0.428
22,0.27,-0.09,NO,N/A,22.83%,45.32%,156.7%,28.01%,86.96,0.3605,2.3035,0.052,0.502,0.932,0.447
23,0.26,-0.1,NO,N/A,22.75%,45.22%,163.15%,28.01%,84.47,0.3561,2.0648,0.051,0.454,0.933,0.506
24,0.27,-0.15,NO,N/A,22.19%,44.11%,156.75%,27.02%,88.63,0.3473,2.0888,0.049,0.525,0.935,0.42
25,0.27,-0.08,NO,N/A,22.01%,44.09%,150.93%,26.56%,86.47,0.3426,2.0014,0.047,0.497,0.938,0.451
