	test_statistic	p	-log2(p)	FDR_corrected_p
A2ML1_mutation_status	0.0012301006597789344	0.9720216977952651	0.04093957637292832	0.9999976776816369
A2M_mutation_status	3.2064532056125e-08	0.9998571262274577	0.00020613800932807783	0.9999976776816369
ABCA12_mutation_status	0.0006964838164496329	0.9789454886976728	0.030699567412907604	0.9999976776816369
ABCA13_mutation_status	0.0002500797316298184	0.9873828516999588	0.018318505492230533	0.9999976776816369
ABCA1_mutation_status	0.0001822999342524234	0.9892274102172092	0.015625879384574694	0.9999976776816369
ABCA2_mutation_status	0.00012405042302073897	0.9911135110072998	0.012877797930449332	0.9999976776816369
ABCA3_mutation_status	0.00016313091738862795	0.9898094788881194	0.014777236679816638	0.9999976776816369
ABCA4_mutation_status	6.309666656015034e-05	0.9936621974880485	0.00917261416395868	0.9999976776816369
ABCB1_mutation_status	0.0006985390240853829	0.9789144546255925	0.030745303781380122	0.9999976776816369
ABCB4_mutation_status	0.00011776858474941972	0.9913414281483828	0.012546072932187638	0.9999976776816369
ABCB5_mutation_status	0.0001811493161907394	0.9892614585181656	0.015576223997858477	0.9999976776816369
ABCC1_mutation_status	0.0005583062465379508	0.981148934826925	0.027455945978687998	0.9999976776816369
ABCC8_mutation_status	0.00023025221130973603	0.9878933133932617	0.0175728471555379	0.9999976776816369
ABCC9_mutation_status	0.0001653899976200676	0.989739164839389	0.014879726436532022	0.9999976776816369
ACACA_mutation_status	0.00014102262882536697	0.9905251082451119	0.013734549271237977	0.9999976776816369
ACACB_mutation_status	0.0005799301029567635	0.9807874100991688	0.02798763492888742	0.9999976776816369
ACAN_mutation_status	0.0014458844893454558	0.9696679184882078	0.04443734179180894	0.9999976776816369
ACTN2_mutation_status	9.457067305018448e-05	0.9922408980868735	0.011237671570197836	0.9999976776816369
ACVR2A_mutation_status	1.0530025631405773e-07	0.9997410864568008	0.00037358164955395565	0.9999976776816369
ADAMTS10_mutation_status	0.00016057404344090086	0.9898896518532359	0.014660385449794889	0.9999976776816369
ADAMTS12_mutation_status	1.4352984297609293e-05	0.9969771950310685	0.004367590255735058	0.9999976776816369
ADAMTS16_mutation_status	6.738342570437223e-05	0.9934504459984775	0.009480088253122783	0.9999976776816369
ADAMTS18_mutation_status	0.0005120500616796078	0.9819465914356615	0.026283537115550603	0.9999976776816369
ADAMTS19_mutation_status	7.52672856676887e-05	0.993077902044582	0.010021200411555867	0.9999976776816369
ADAMTS2_mutation_status	4.1131320977127496e-05	0.9948829057861873	0.007401359364242096	0.9999976776816369
ADAMTS5_mutation_status	0.0004013648893756485	0.9840161755968334	0.023246063609912618	0.9999976776816369
ADAMTS9_mutation_status	0.0001658325854835315	0.9897254456412222	0.01489972438855969	0.9999976776816369
ADAMTSL1_mutation_status	0.0010602820132434925	0.9740238957749382	0.03797092843896659	0.9999976776816369
ADAMTSL3_mutation_status	6.135558254289763e-05	0.9937502497529844	0.00904477701951335	0.9999976776816369
ADCY10_mutation_status	0.0005511348507709076	0.9812703738996795	0.027277391326807374	0.9999976776816369
ADCY1_mutation_status	0.0007757787511931807	0.9777795499089788	0.03241886294428569	0.9999976776816369
ADCY2_mutation_status	0.0008690298877636163	0.9764823177022969	0.034334175090889305	0.9999976776816369
ADCY5_mutation_status	4.382358448810973e-05	0.994718091931776	0.007640378274310668	0.9999976776816369
ADCY8_mutation_status	1.6164541717247106e-05	0.9967921017128503	0.00463545797091996	0.9999976776816369
ADCY9_mutation_status	0.00016210715412281595	0.9898415038884602	0.014730559452788214	0.9999976776816369
AFAP1_mutation_status	0.0004723150649238946	0.9826610907215778	0.025234162595315173	0.9999976776816369
AFF2_mutation_status	3.1047219564447716e-06	0.9985941104809924	0.0020296969364823453	0.9999976776816369
AFF3_mutation_status	0.00042942573527503984	0.9834669486937937	0.024051526122030317	0.9999976776816369
AGAP1_mutation_status	0.00025821124440414265	0.9871793823850891	0.01861583131717278	0.9999976776816369
AGRN_mutation_status	0.0003194656605383879	0.9857396879325927	0.02072138186603971	0.9999976776816369
