	test_statistic	p	-log2(p)	FDR_corrected_p
A2ML1_mutation_status	0.01335764196129736	0.9079891669025221	0.1392530098703366	0.999934250474592
A2M_mutation_status	0.3413935216692814	0.5590259571547386	0.8390128218564833	0.999934250474592
ABCA12_mutation_status	0.0008950294636885836	0.976133213560366	0.034850048094683596	0.999934250474592
ABCA13_mutation_status	0.06961721333240267	0.7918949341312267	0.3366190636516984	0.999934250474592
ABCA2_mutation_status	0.025461370796391818	0.8732228096777612	0.19557827905797673	0.999934250474592
ABCA3_mutation_status	0.005619595241476392	0.940243387235222	0.0888938401110122	0.999934250474592
ABCB1_mutation_status	3.3370447255809165e-05	0.995390873160002	0.006664936029120652	0.999934250474592
ABCB4_mutation_status	0.306269908590566	0.5799781897750219	0.7859294465351581	0.999934250474592
ABCB5_mutation_status	1.829137479178292e-06	0.9989208964944757	0.001557657864291409	0.999934250474592
ABCC1_mutation_status	0.05169769136780116	0.8201350637123627	0.28606657576363276	0.999934250474592
ABCC9_mutation_status	0.01809589118915224	0.8929906306617867	0.1632830563479053	0.999934250474592
ACACA_mutation_status	0.0067637604202784194	0.9344542083892257	0.09780412642085856	0.999934250474592
ACACB_mutation_status	0.1246019780318569	0.7240958971652902	0.4657473185691661	0.999934250474592
ACAN_mutation_status	5.097624362867016	0.023958635087945428	5.383310468957798	0.40108675974970937
ACTN2_mutation_status	1.2503915981110494	0.2634776973500649	1.9242472479555084	0.999934250474592
ACVR2A_mutation_status	4.9678719295257086	0.025822399660421495	5.275233114097664	0.4101453880682988
ADAMTS10_mutation_status	0.007470997382590785	0.9311206795081534	0.10295993199593058	0.999934250474592
ADAMTS12_mutation_status	0.07230882149173529	0.7880043310540372	0.34372453579833767	0.999934250474592
ADAMTS16_mutation_status	0.03844358847716607	0.8445550904460251	0.24373656159306292	0.999934250474592
ADAMTS18_mutation_status	0.20903858734063308	0.6475219951162998	0.6269988955920152	0.999934250474592
ADAMTS19_mutation_status	0.08477567634947697	0.7709269428959731	0.37533394566224343	0.999934250474592
ADAMTS2_mutation_status	0.010132270641663544	0.9198210158847174	0.12057493438815883	0.999934250474592
ADAMTS5_mutation_status	0.000154824231365369	0.9900723073977166	0.014394202306498098	0.999934250474592
ADAMTS9_mutation_status	0.0001150174393477639	0.9914431566072637	0.012398035526206278	0.999934250474592
ADAMTSL1_mutation_status	0.907683135408763	0.34072989929753356	1.5532995443546775	0.999934250474592
ADAMTSL3_mutation_status	4.506649595219099	0.0337633145649094	4.888399648536839	0.5087006061113015
ADCY10_mutation_status	0.017419398987385433	0.8949980776498775	0.16004351124562696	0.999934250474592
ADCY1_mutation_status	0.013043960900741164	0.909071197216772	0.1375348061344557	0.999934250474592
ADCY2_mutation_status	0.17903699077552152	0.672202144871647	0.5730329488633583	0.999934250474592
ADCY5_mutation_status	0.004212517024185285	0.9482505105534721	0.07665985159720476	0.999934250474592
ADCY8_mutation_status	7.282581669081705	0.006962639908328343	7.166149872188087	0.17983504220368063
AFF2_mutation_status	0.24733476824200232	0.6189580329057769	0.6920865009102695	0.999934250474592
AFF3_mutation_status	0.002037735900695723	0.9639946917207527	0.05290289267406618	0.999934250474592
AGRN_mutation_status	0.12082632504998134	0.7281399957886783	0.45771223812707984	0.999934250474592
AHNAK2_mutation_status	3.55430346548595e-05	0.99524320164908	0.006878983361651087	0.999934250474592
AHNAK_mutation_status	1.059323646050094	0.30336949628612053	1.720852064573154	0.999934250474592
AKAP12_mutation_status	2.332605632786774	0.1266896564005573	2.980629354692665	0.999934250474592
AKAP13_mutation_status	0.0019839199885766275	0.9644729983543732	0.052187246126240025	0.999934250474592
AKAP6_mutation_status	0.06980192658207163	0.7916253931704502	0.33711020406142955	0.999934250474592
AKAP9_mutation_status	3.620378854425491	0.05707587442036937	4.130975132613105	0.7700983653136404
ALMS1_mutation_status	0.05034616965849341	0.8224620039668431	0.2819790640088424	0.999934250474592
AMBRA1_mutation_status	0.037810015988111886	0.8458251260645053	0.2415686772136675	0.999934250474592
AMY2B_mutation_status	0.06698486282814979	0.7957784926974399	0.32956118668009227	0.999934250474592
ANK1_mutation_status	0.0010925228526564067	0.9736320569019489	0.03855142522099754	0.999934250474592
ANK2_mutation_status	0.00010661296705270281	0.9917617046139688	0.011934575958819128	0.999934250474592
ANK3_mutation_status	0.11948610482596836	0.7295925199151765	0.4548371564162311	0.999934250474592
ANKRD11_mutation_status	0.2934165930530558	0.5880393701287425	0.7660153459684762	0.999934250474592
ANKRD17_mutation_status	0.01662252930656015	0.8974143135266629	0.15615390007607752	0.999934250474592
ANKRD30A_mutation_status	0.2774094228425366	0.5984042216550594	0.7408077416214811	0.999934250474592
APC_mutation_status	0.09164860938506256	0.7620916599140708	0.3919635678370119	0.999934250474592
APOB_mutation_status	0.8714852526848305	0.35054445586668304	1.5123306772096192	0.999934250474592
ARFGEF1_mutation_status	0.18956062229602866	0.6632825595652037	0.5923045029176681	0.999934250474592
ARFGEF2_mutation_status	1.6515814143684142	0.19874382875556143	2.3310180312801774	0.999934250474592
ARHGAP31_mutation_status	0.0009027913185067485	0.9760299794553003	0.03500263301391625	0.999934250474592
ARHGAP33_mutation_status	0.0413023647860492	0.8389553964506775	0.2533339839004136	0.999934250474592
ARHGAP5_mutation_status	0.20284036006280326	0.6524378916292172	0.6160875230182643	0.999934250474592
ARHGEF11_mutation_status	0.08784954260773387	0.7669290273699106	0.3828350198958707	0.999934250474592
ARHGEF17_mutation_status	0.0030549967550307696	0.9559217488487481	0.06503556995370795	0.999934250474592
ARID1A_mutation_status	0.08638095822436352	0.7688294453530502	0.3792645040263101	0.999934250474592
ARID1B_mutation_status	0.3062459183181978	0.5799930285662278	0.7858925355322846	0.999934250474592
ARID2_mutation_status	0.32343070250206735	0.5695531761096997	0.8120975500069623	0.999934250474592
AR_mutation_status	0.7417903393731051	0.3890879714982334	1.3618317142375627	0.999934250474592
ASAP1_mutation_status	0.2721275967427887	0.6019081201872123	0.7323848149901209	0.999934250474592
ASCC3_mutation_status	0.9649301343788415	0.3259478518595554	1.6172869276138115	0.999934250474592
ASH1L_mutation_status	0.0014986011847649377	0.969120188844756	0.045252497257627804	0.999934250474592
ASPM_mutation_status	0.04348381654234637	0.8348169286669509	0.2604682386921661	0.999934250474592
ASTN1_mutation_status	0.02497915284494509	0.8744190189931762	0.19360331429298958	0.999934250474592
ASTN2_mutation_status	0.12101828755533778	0.7279326881254458	0.4581230441850586	0.999934250474592
ASXL1_mutation_status	0.007452428187210599	0.9312061199885622	0.10282755506026411	0.999934250474592
ASXL3_mutation_status	0.13981160018438082	0.7084683790511159	0.4972246318699532	0.999934250474592
ATM_mutation_status	0.0027392774591621493	0.9582592898039219	0.061512015648071044	0.999934250474592
ATP10A_mutation_status	2.3929545372255547	0.12188307938044333	3.0364302395470704	0.999934250474592
ATP10D_mutation_status	0.08940127670259512	0.7649396925017368	0.3865820840210441	0.999934250474592
ATP1A3_mutation_status	0.432650333614583	0.5106913273397271	0.9694765357591151	0.999934250474592
ATP2B2_mutation_status	0.17048049445618854	0.6796851296820849	0.5570615353632098	0.999934250474592
ATP2B3_mutation_status	0.0006030204064636608	0.9804087376796838	0.02854475291947705	0.999934250474592
ATP4A_mutation_status	0.04826195724782668	0.8261156756433796	0.27558428782784966	0.999934250474592
ATRNL1_mutation_status	0.20877336093166257	0.6477305344926736	0.6265343394999071	0.999934250474592
ATR_mutation_status	0.08403807185730464	0.7718979381063129	0.37351799081618026	0.999934250474592
ATXN1_mutation_status	0.009997390763366858	0.9203546835596967	0.11973814502071678	0.999934250474592
AUTS2_mutation_status	0.3423439065844584	0.5584793891491306	0.8404240562934073	0.999934250474592
BAGE2_mutation_status	2.767127992860755	0.09621865860343076	3.377539503009629	0.999934250474592
BAI1_mutation_status	0.004051078972209371	0.9492504414883958	0.0751393300575135	0.999934250474592
BAI3_mutation_status	5.080337384073286	0.024198660729770526	5.368928985745308	0.40108675974970937
BCHE_mutation_status	0.0020515159969756763	0.9638732376666301	0.05308466981672135	0.999934250474592
BCL11A_mutation_status	0.4839930641387626	0.48661916818049233	1.0391349449885736	0.999934250474592
BCLAF1_mutation_status	0.0915530947266987	0.7622119249759745	0.391735915274254	0.999934250474592
BCORL1_mutation_status	0.003158003511960264	0.9551855748438547	0.06614704561544223	0.999934250474592
BCOR_mutation_status	0.3087969352962226	0.5784193738421921	0.7898122195036668	0.999934250474592
BDP1_mutation_status	0.030888009704922902	0.8604904703033449	0.21676887998648006	0.999934250474592
BICC1_mutation_status	0.0010729468990838041	0.9738692714149618	0.03819997159345223	0.999934250474592
BIRC6_mutation_status	0.3429140013910675	0.5581520151105992	0.8412699950940457	0.999934250474592
BNC2_mutation_status	0.9110403341707809	0.33983853807095704	1.557078629854165	0.999934250474592
BOD1L1_mutation_status	0.10252715282872166	0.7488177733024279	0.41731341697596913	0.999934250474592
BPTF_mutation_status	0.3675915608497724	0.544320009518692	0.8774730235445731	0.999934250474592
BRCA2_mutation_status	11.507272739987176	0.0006932441590519598	10.494348823700882	0.04231856239056503
BRINP1_mutation_status	0.22220796306037924	0.6373626867454016	0.649813533291327	0.999934250474592
BRINP3_mutation_status	1.3615535015218585	0.24326842760016099	2.039379001492819	0.999934250474592
BRWD1_mutation_status	0.023038534818336665	0.8793569067047876	0.1854792605476509	0.999934250474592
BSN_mutation_status	0.6415292917035779	0.42315756047781394	1.2407331516471705	0.999934250474592
BTAF1_mutation_status	0.0016675504153641876	0.9674269174420286	0.04777541536296854	0.999934250474592
BTBD11_mutation_status	0.07356162056463746	0.7862199427760607	0.34699513613779115	0.999934250474592
C11orf63_mutation_status	1.0183883756707799	0.31290159620491037	1.6762190766695544	0.999934250474592
C1orf173_mutation_status	0.16198250087495597	0.6873377969262282	0.5409087990785328	0.999934250474592
C20orf26_mutation_status	7.668777113826168	0.005618452236580995	7.475611531110173	0.1587212756834131
C2CD3_mutation_status	0.0007979671335356067	0.9774641051389432	0.0328843707680069	0.999934250474592
C3_mutation_status	0.04345632802690693	0.8348683954199385	0.2603792987844383	0.999934250474592
C5orf42_mutation_status	0.013294085333888492	0.9082073544013269	0.13890637554929067	0.999934250474592
CACNA1A_mutation_status	0.6808093901763235	0.40930815281967403	1.2887406914453068	0.999934250474592
CACNA1B_mutation_status	0.5556814660637035	0.45600549766488907	1.1328768770630024	0.999934250474592
CACNA1C_mutation_status	0.012735099353929356	0.9101495585315771	0.1358244620781323	0.999934250474592
CACNA1D_mutation_status	0.06593706832770155	0.7973469567501014	0.32672046118358755	0.999934250474592
CACNA1E_mutation_status	0.3278166619070109	0.5669475536947315	0.8187128121433521	0.999934250474592
CACNA1G_mutation_status	0.06048500879452119	0.8057310001174223	0.3116298312855188	0.999934250474592
CACNA1H_mutation_status	0.1303873580737933	0.7180307504587944	0.4778824645097383	0.999934250474592
CACNA1I_mutation_status	0.2213610476323438	0.6380048195339703	0.6483607726346847	0.999934250474592
CACNA1S_mutation_status	0.2928512832496757	0.5883991280517711	0.7651329862217401	0.999934250474592
CACNA2D1_mutation_status	3.196822413055502	0.07378149361873809	3.7605971947981707	0.952835289019132
CACNA2D3_mutation_status	0.11461569730117846	0.7349492054128557	0.4442835505591211	0.999934250474592
CAD_mutation_status	0.03605205523219902	0.8494080332297296	0.2354703419285727	0.999934250474592
CAMSAP2_mutation_status	0.026909897746126062	0.8696977925238695	0.20141392262605248	0.999934250474592
CAMTA1_mutation_status	0.017106824116177404	0.8959390144462982	0.15852756187936465	0.999934250474592
CARD11_mutation_status	0.10723323358814435	0.7433163178694533	0.4279518153374484	0.999934250474592
CASC3_mutation_status	0.03147338436574278	0.8591883978310906	0.21895358306376125	0.999934250474592
CASZ1_mutation_status	0.9953635526137838	0.3184349992210003	1.6509291835421884	0.999934250474592
CCDC108_mutation_status	0.24020070131683788	0.6240611952843722	0.6802405885490534	0.999934250474592
CCDC178_mutation_status	0.8646931955791257	0.3524286582652624	1.50459685094655	0.999934250474592
CD163L1_mutation_status	0.5211792284920818	0.4703390897474481	1.0882268557357817	0.999934250474592
CDH10_mutation_status	0.09377160574890145	0.7594360052052569	0.39699969548304137	0.999934250474592
CDH11_mutation_status	0.6609621905943491	0.4162204592261268	1.2645802127102583	0.999934250474592
CDH12_mutation_status	0.22024299675802295	0.6388548293931202	0.6464399582512353	0.999934250474592
CDH18_mutation_status	0.037398726923951194	0.8466555006342583	0.24015303043923703	0.999934250474592
CDH1_mutation_status	4.592217735040678	0.03211743138925461	4.9604996727029365	0.4921043724726469
CDH20_mutation_status	0.2734498866592026	0.6010268915685353	0.7344985524290577	0.999934250474592
CDH23_mutation_status	5.866232601672958	0.015434047566346247	6.01773973265292	0.3306248480249106
CDH2_mutation_status	0.24277427161279447	0.6222095309408164	0.6845276007933736	0.999934250474592
CDH4_mutation_status	0.04861586083635212	0.8254895229853557	0.27667819014615186	0.999934250474592
CDH6_mutation_status	1.8453302455435545	0.1743274926850841	2.5201279842151907	0.999934250474592
CDH8_mutation_status	1.7019927464383338	0.1920275754194045	2.380614596106306	0.999934250474592
CDH9_mutation_status	0.1340986902407998	0.7142196623227579	0.48556024331417297	0.999934250474592
CDHR2_mutation_status	0.09476248468925946	0.7582077673281182	0.3993348588636924	0.999934250474592
CELSR1_mutation_status	0.08582762578832917	0.7695500334424996	0.37791296631597	0.999934250474592
CELSR2_mutation_status	0.015685377970004535	0.9003325385654906	0.15147013441163074	0.999934250474592
CELSR3_mutation_status	0.21925578493846218	0.639607558858652	0.6447411062513352	0.999934250474592
CENPF_mutation_status	0.00023273009037782472	0.9878283491680309	0.01766772242808818	0.999934250474592
CFH_mutation_status	6.262106877150699	0.012334742767943767	6.341128560174909	0.28591301185182477
CHD4_mutation_status	0.045187740647145334	0.8316591884002512	0.2659356577915404	0.999934250474592
CHD5_mutation_status	0.26119444590622387	0.6093007395638792	0.7147736034005246	0.999934250474592
CHD6_mutation_status	0.007884442611717902	0.9292453210624863	0.10586857604239786	0.999934250474592
CHD7_mutation_status	0.5309854231374549	0.46619286157295603	1.1010011810515195	0.999934250474592
CHD9_mutation_status	0.05498235954933512	0.8146098932275301	0.2958187592796151	0.999934250474592
CHL1_mutation_status	0.38564835277041	0.534595728014202	0.903479785920944	0.999934250474592
CILP2_mutation_status	2.2482678796155957	0.13376405617719536	2.902237594314659	0.999934250474592
CIT_mutation_status	0.04222646432254099	0.8371886939429115	0.25637526645503106	0.999934250474592
CMYA5_mutation_status	0.5091640594908775	0.47550095239838763	1.0724798641715452	0.999934250474592
CNOT1_mutation_status	0.025079341443327043	0.8741695195029425	0.19401501970198973	0.999934250474592
CNTLN_mutation_status	0.06311054887663214	0.8016454681694449	0.3189637564611941	0.999934250474592
CNTN1_mutation_status	0.5079290076047196	0.47603674974350807	1.0708551418874293	0.999934250474592
CNTN3_mutation_status	0.03721849586431311	0.8470208715906846	0.23953057518893955	0.999934250474592
CNTN5_mutation_status	0.09166489024761344	0.762071167069822	0.3920023628059611	0.999934250474592
CNTN6_mutation_status	0.013398017164692458	0.9078508334788479	0.13947282322907759	0.999934250474592
CNTNAP2_mutation_status	1.617406936844704	0.20345373261109836	2.2972273462028294	0.999934250474592
CNTNAP4_mutation_status	1.6760449552661398	0.19545081491311	2.355122495071355	0.999934250474592
CNTNAP5_mutation_status	2.980279934495391	0.08428469369710627	3.5685855317065323	0.9895863995147577
COL11A1_mutation_status	0.7807745227887831	0.37690436783047343	1.4077295808326902	0.999934250474592
COL11A2_mutation_status	0.02643601452318916	0.8708400347901286	0.1995203613787917	0.999934250474592
COL12A1_mutation_status	1.203454676971022	0.2726322914021889	1.8749716454120315	0.999934250474592
COL14A1_mutation_status	2.6793479817198116	0.1016573428457949	3.29821366814924	0.999934250474592
COL15A1_mutation_status	1.7130275125068075	0.19059303694151022	2.39143268158626	0.999934250474592
COL17A1_mutation_status	0.19779906578145362	0.656503272665236	0.607125891924359	0.999934250474592
COL1A2_mutation_status	6.528966616735037	0.01061315984296606	6.558001937755485	0.2540615039537337
COL22A1_mutation_status	0.010039933288375569	0.9201859687574941	0.12000263687949485	0.999934250474592
COL24A1_mutation_status	0.2656971476300035	0.6062328774775975	0.7220559997963267	0.999934250474592
COL27A1_mutation_status	16.410536342009244	5.1000947153172854e-05	14.259116434401758	0.013071807504604994
COL4A1_mutation_status	0.18926130314046793	0.6635321408361934	0.5917617448880901	0.999934250474592
COL4A4_mutation_status	0.011446485876775797	0.9147983005054448	0.12847440934617688	0.999934250474592
COL5A1_mutation_status	0.20749865258248676	0.6487350385947719	0.6242987330839325	0.999934250474592
COL5A2_mutation_status	0.3687132168833096	0.5437065119608033	0.8790999875214477	0.999934250474592
COL6A2_mutation_status	0.0844379983690691	0.7713708970914331	0.3745033790657585	0.999934250474592
COL6A3_mutation_status	0.010412816658503346	0.9187223776391459	0.12229912555259442	0.999934250474592
COL6A6_mutation_status	0.016535168804024617	0.8976827542067485	0.1557224158429623	0.999934250474592
COL7A1_mutation_status	0.17403316743009745	0.6765519992922568	0.5637272719375271	0.999934250474592
CPAMD8_mutation_status	0.3264697814393256	0.5677452401136767	0.816684389231606	0.999934250474592
CPS1_mutation_status	0.12555184551254545	0.7230893705661534	0.4677541261281135	0.999934250474592
CPXM2_mutation_status	0.00040420252106321915	0.9839597802391977	0.023328748870950648	0.999934250474592
CR1_mutation_status	0.019337442471022457	0.8894034215319241	0.16909014014437226	0.999934250474592
CRB1_mutation_status	0.13510329966193435	0.7131983565866367	0.48762471630336796	0.999934250474592
CREBBP_mutation_status	11.255217283996254	0.0007939952726767249	10.29858196173556	0.04231856239056503
CSMD1_mutation_status	0.7104294385441614	0.3993012855677749	1.324450378089785	0.999934250474592
CSMD2_mutation_status	0.6244856096639917	0.42938527308686214	1.219655383916338	0.999934250474592
CSMD3_mutation_status	0.11559854042040217	0.733858144362928	0.4464268795066417	0.999934250474592
CSPG4_mutation_status	0.4765366581529925	0.4899952703960051	1.0291602709843317	0.999934250474592
CTNNA2_mutation_status	1.387430009472693	0.23883958935520638	2.065886101532014	0.999934250474592
CTNNA3_mutation_status	6.0081326996755	0.014240089017991942	6.133898024831782	0.3218260118066179
CTNNB1_mutation_status	1.3749823762709072	0.24095768366725398	2.053148288364767	0.999934250474592
CTNND1_mutation_status	0.056862564212005154	0.811525323634815	0.30129198013588626	0.999934250474592
CTNND2_mutation_status	0.05965667847738823	0.807039399185917	0.30928898814683115	0.999934250474592
CTTNBP2_mutation_status	1.2595968213537678	0.26172742059735726	1.9338630146455882	0.999934250474592
CUBN_mutation_status	0.38349559410132944	0.5357383653471341	0.9003994807148978	0.999934250474592
CUL7_mutation_status	0.035830002459528755	0.8498669849997353	0.23469103610509925	0.999934250474592
CUL9_mutation_status	8.851761154212529	0.002928062278538631	8.415838045253484	0.09803586295551564
CUX1_mutation_status	0.059598983279825914	0.8071308899425826	0.30912544497922495	0.999934250474592
CUX2_mutation_status	0.0718084379827337	0.7887216683458753	0.34241181687903843	0.999934250474592
DCAF12L1_mutation_status	1.8333223817330442	0.17573562586934852	2.5085214046512103	0.999934250474592
DCAF12L2_mutation_status	0.48725580579659317	0.48515398696779255	1.0434853661956824	0.999934250474592
DCC_mutation_status	0.0394007782485117	0.8426567849786606	0.24698295533810866	0.999934250474592
DCDC1_mutation_status	0.004974102006079261	0.9437739613247269	0.08348672674583733	0.999934250474592
DCHS1_mutation_status	0.04700545698022364	0.8283584298672972	0.2716729393602145	0.999934250474592
