Hugo_Symbol	dN	dS	dN/dS
ACVR2A	52	1	51.999948000052
PGM5	34	1	33.999966000034
RASA1	33	1	32.999967000033
GRIN3A	29	1	28.999971000029003
SMC2	25	1	24.999975000025003
RNF43	48	2	23.999988000006
KIF14	24	1	23.999976000024002
NUP210L	24	1	23.999976000024002
NPAT	24	1	23.999976000024002
NUAK1	24	1	23.999976000024002
ITGB8	23	1	22.999977000023
UACA	23	1	22.999977000023
RASAL2	22	1	21.999978000022
OR4C16	21	1	20.999979000021003
NOMO1	21	1	20.999979000021003
RGPD3	21	1	20.999979000021003
BIVM-ERCC5	21	1	20.999979000021003
MANEA	21	1	20.999979000021003
ZFYVE20	21	1	20.999979000021003
RAPGEF5	20	1	19.999980000020003
IL7R	20	1	19.999980000020003
RNF123	20	1	19.999980000020003
OR2T12	20	1	19.999980000020003
AP3M2	20	1	19.999980000020003
DAO	20	1	19.999980000020003
GPR6	20	1	19.999980000020003
GLTSCR1L	20	1	19.999980000020003
PIK3CA	95	5	18.99999620000076
KCNK10	19	1	18.999981000019
DENND2A	19	1	18.999981000019
ABI3BP	19	1	18.999981000019
PABPC3	19	1	18.999981000019
MVK	19	1	18.999981000019
BARD1	19	1	18.999981000019
TRIM49C	19	1	18.999981000019
SPECC1L	19	1	18.999981000019
DHX8	19	1	18.999981000019
RPL22	36	2	17.9999910000045
CROT	18	1	17.999982000018
CDH19	18	1	17.999982000018
GPR124	18	1	17.999982000018
PRPF40B	18	1	17.999982000018
SMARCAL1	18	1	17.999982000018
CC2D2A	18	1	17.999982000018
ZKSCAN7	18	1	17.999982000018
RFX5	18	1	17.999982000018
OR52E8	18	1	17.999982000018
RGAG4	18	1	17.999982000018
GSDMC	18	1	17.999982000018
CDH9	34	2	16.99999150000425
WIZ	17	1	16.999983000017
NBEAL1	17	1	16.999983000017
SRRT	17	1	16.999983000017
CBFA2T3	17	1	16.999983000017
NDST2	17	1	16.999983000017
NPAS2	17	1	16.999983000017
NAA16	17	1	16.999983000017
EEA1	17	1	16.999983000017
AGO1	17	1	16.999983000017
RGL1	17	1	16.999983000017
COL3A1	17	1	16.999983000017
AMPD2	17	1	16.999983000017
SYNM	17	1	16.999983000017
TMEM200A	17	1	16.999983000017
PHTF1	17	1	16.999983000017
WDTC1	17	1	16.999983000017
RFX6	17	1	16.999983000017
ARID1A	146	9	16.222220419753288
SEMA4A	16	1	15.999984000016001
CYLC2	16	1	15.999984000016001
CHRNA6	16	1	15.999984000016001
TPTE2	16	1	15.999984000016001
ZNF227	16	1	15.999984000016001
CCDC170	16	1	15.999984000016001
GABRD	16	1	15.999984000016001
SLC22A16	16	1	15.999984000016001
NXPE1	16	1	15.999984000016001
FBXO24	16	1	15.999984000016001
ZFP36L2	16	1	15.999984000016001
HELQ	16	1	15.999984000016001
CCDC88A	31	2	15.499992250003874
CEP250	30	2	14.99999250000375
MRGPRX2	15	1	14.999985000015002
ZFYVE28	15	1	14.999985000015002
PKN3	15	1	14.999985000015002
RSBN1	15	1	14.999985000015002
ZWINT	15	1	14.999985000015002
GPR101	15	1	14.999985000015002
FAM83B	15	1	14.999985000015002
FNDC3B	15	1	14.999985000015002
ZBTB18	15	1	14.999985000015002
OR51B5	15	1	14.999985000015002
DIS3L2	15	1	14.999985000015002
EPB41L5	15	1	14.999985000015002
IPO9	15	1	14.999985000015002
MGEA5	15	1	14.999985000015002
OR10S1	15	1	14.999985000015002
GALNTL6	15	1	14.999985000015002
EFCAB5	15	1	14.999985000015002
CDC14A	15	1	14.999985000015002
SYCP2L	15	1	14.999985000015002
ARFGAP2	15	1	14.999985000015002
CCDC132	15	1	14.999985000015002
HJURP	15	1	14.999985000015002
ZNF711	15	1	14.999985000015002
LMCD1	15	1	14.999985000015002
PRKAR2B	15	1	14.999985000015002
DDX50	15	1	14.999985000015002
PYHIN1	15	1	14.999985000015002
TP53BP1	29	2	14.499992750003624
PTEN	43	3	14.333328555557147
TTK	28	2	13.9999930000035
MYH1	28	2	13.9999930000035
ZNF526	14	1	13.999986000014001
B3GALTL	14	1	13.999986000014001
FASTKD1	14	1	13.999986000014001
SLC26A5	14	1	13.999986000014001
COG5	14	1	13.999986000014001
PDCD6IP	14	1	13.999986000014001
ARHGEF2	14	1	13.999986000014001
KCTD9	14	1	13.999986000014001
TGFBR1	14	1	13.999986000014001
PNLIPRP3	14	1	13.999986000014001
EMILIN3	14	1	13.999986000014001
HIF3A	14	1	13.999986000014001
DNAJC2	14	1	13.999986000014001
MEPCE	14	1	13.999986000014001
ARHGAP29	14	1	13.999986000014001
SHMT2	14	1	13.999986000014001
WDR16	14	1	13.999986000014001
ZNF614	14	1	13.999986000014001
PTPN4	14	1	13.999986000014001
FMOD	14	1	13.999986000014001
LPP	14	1	13.999986000014001
DDC	14	1	13.999986000014001
AGAP7	14	1	13.999986000014001
CASP5	14	1	13.999986000014001
AGO4	14	1	13.999986000014001
AGBL2	14	1	13.999986000014001
EXOC8	14	1	13.999986000014001
SCLT1	14	1	13.999986000014001
ARID4A	14	1	13.999986000014001
FLII	14	1	13.999986000014001
MBD6	27	2	13.499993250003374
SLITRK6	27	2	13.499993250003374
BMPR2	39	3	12.999995666668111
KANSL1L	26	2	12.99999350000325
MPRIP	26	2	12.99999350000325
PDE3B	26	2	12.99999350000325
MAN2A1	13	1	12.999987000013
CLCA1	13	1	12.999987000013
LGR4	13	1	12.999987000013
BEND4	13	1	12.999987000013
ZNF124	13	1	12.999987000013
ACSS2	13	1	12.999987000013
NOSTRIN	13	1	12.999987000013
DNAJC1	13	1	12.999987000013
CCDC148	13	1	12.999987000013
TMEM104	13	1	12.999987000013
TNIP3	13	1	12.999987000013
GPR156	13	1	12.999987000013
SEC23B	13	1	12.999987000013
FAM111B	13	1	12.999987000013
MFSD9	13	1	12.999987000013
NEUROD4	13	1	12.999987000013
C7orf50	13	1	12.999987000013
OR4Q3	13	1	12.999987000013
ZNF131	13	1	12.999987000013
DDX23	13	1	12.999987000013
ETV6	13	1	12.999987000013
IKBKE	13	1	12.999987000013
ETV5	13	1	12.999987000013
PHF20	13	1	12.999987000013
MAP9	13	1	12.999987000013
GEMIN5	13	1	12.999987000013
SEC24C	13	1	12.999987000013
GBA	13	1	12.999987000013
KIAA1045	13	1	12.999987000013
PEX16	13	1	12.999987000013
TRIM68	13	1	12.999987000013
CSTF1	13	1	12.999987000013
TBC1D15	13	1	12.999987000013
CAPN5	13	1	12.999987000013
CRYBB1	13	1	12.999987000013
FAM71B	13	1	12.999987000013
SAMHD1	13	1	12.999987000013
SOX9	13	1	12.999987000013
GPR110	13	1	12.999987000013
STS	13	1	12.999987000013
CAND1	13	1	12.999987000013
CCDC146	13	1	12.999987000013
SOX30	13	1	12.999987000013
ZNF615	13	1	12.999987000013
FAM198B	13	1	12.999987000013
PREPL	13	1	12.999987000013
NCOA7	13	1	12.999987000013
TNFRSF19	13	1	12.999987000013
HECA	25	2	12.499993750003124
AQR	25	2	12.499993750003124
EIF4G3	25	2	12.499993750003124
KIF13A	25	2	12.499993750003124
IRF2	25	2	12.499993750003124
TRIM51	25	2	12.499993750003124
KLF3	37	3	12.333329222223592
KIAA2022	37	3	12.333329222223592
MAP2K7	36	3	11.999996000001333
OR5M3	24	2	11.999994000003
E2F8	24	2	11.999994000003
DOCK7	24	2	11.999994000003
KIF27	24	2	11.999994000003
ST18	24	2	11.999994000003
FAM184A	24	2	11.999994000003
NRAP	24	2	11.999994000003
LIPT1	12	1	11.999988000012001
ASUN	12	1	11.999988000012001
NAT10	12	1	11.999988000012001
TRIM56	12	1	11.999988000012001
UTP14A	12	1	11.999988000012001
HPSE	12	1	11.999988000012001
UBE4A	12	1	11.999988000012001
OR52B6	12	1	11.999988000012001
AQP8	12	1	11.999988000012001
ZPBP	12	1	11.999988000012001
HOXD8	12	1	11.999988000012001
CNBD2	12	1	11.999988000012001
GABRG3	12	1	11.999988000012001
TERF2	12	1	11.999988000012001
FAM208A	12	1	11.999988000012001
APLP2	12	1	11.999988000012001
LGR5	12	1	11.999988000012001
HCFC2	12	1	11.999988000012001
USP21	12	1	11.999988000012001
KAT2B	12	1	11.999988000012001
C1orf94	12	1	11.999988000012001
HDAC11	12	1	11.999988000012001
RUVBL1	12	1	11.999988000012001
C19orf26	12	1	11.999988000012001
PKD2L2	12	1	11.999988000012001
ZMYM1	12	1	11.999988000012001
CCDC66	12	1	11.999988000012001
GNL2	12	1	11.999988000012001
ZNF79	12	1	11.999988000012001
ISM2	12	1	11.999988000012001
DAB1	12	1	11.999988000012001
ASS1	12	1	11.999988000012001
TCF21	12	1	11.999988000012001
OR51F1	12	1	11.999988000012001
ZC2HC1A	12	1	11.999988000012001
MYCT1	12	1	11.999988000012001
KIFAP3	12	1	11.999988000012001
MYO1A	12	1	11.999988000012001
TRIP4	12	1	11.999988000012001
SEMA4C	12	1	11.999988000012001
SASS6	12	1	11.999988000012001
RBM44	12	1	11.999988000012001
REPS2	12	1	11.999988000012001
RBM42	12	1	11.999988000012001
MAGEE2	12	1	11.999988000012001
TRAK2	12	1	11.999988000012001
OR2J3	12	1	11.999988000012001
RAG2	12	1	11.999988000012001
L3MBTL4	12	1	11.999988000012001
TTLL2	12	1	11.999988000012001
BCL6	12	1	11.999988000012001
KLHL31	12	1	11.999988000012001
UBTF	12	1	11.999988000012001
SLC3A2	12	1	11.999988000012001
HEPACAM2	12	1	11.999988000012001
ZNF382	12	1	11.999988000012001
SLC17A4	12	1	11.999988000012001
CNTLN	47	4	11.749997062500734
FRYL	35	3	11.666662777779074
SLITRK2	35	3	11.666662777779074
MDC1	35	3	11.666662777779074
KMT2E	35	3	11.666662777779074
CR1	35	3	11.666662777779074
ATP13A1	23	2	11.499994250002874
UPF2	23	2	11.499994250002874
MAP3K12	23	2	11.499994250002874
GPC6	23	2	11.499994250002874
ITSN2	23	2	11.499994250002874
GABRG2	23	2	11.499994250002874
RPS6KA6	23	2	11.499994250002874
BBS9	23	2	11.499994250002874
SOS2	23	2	11.499994250002874
VCPIP1	23	2	11.499994250002874
MLLT4	34	3	11.333329555556814
BTBD11	34	3	11.333329555556814
ITGAL	22	2	10.99999450000275
BRWD3	22	2	10.99999450000275
CLCN3	22	2	10.99999450000275
WDR47	22	2	10.99999450000275
KCNH7	22	2	10.99999450000275
CNBD1	22	2	10.99999450000275
NWD1	22	2	10.99999450000275
UGT2B17	11	1	10.999989000011
