Hugo_Symbol	dN	dS	dN/dS
TP53	169	2	84.49995775002112
ERBB2	33	1	32.999967000033
SMAD4	29	1	28.999971000029003
CFH	28	1	27.999972000028002
PIK3CA	82	3	27.333324222225258
CDH9	25	1	24.999975000025003
CNTN4	25	1	24.999975000025003
GRIN3A	24	1	23.999976000024002
THSD1	23	1	22.999977000023
AMY2B	21	1	20.999979000021003
OR4C16	19	1	18.999981000019
OR2T12	19	1	18.999981000019
EGFLAM	19	1	18.999981000019
HGF	19	1	18.999981000019
VWA5A	19	1	18.999981000019
MYH1	19	1	18.999981000019
DAAM1	18	1	17.999982000018
CADM1	18	1	17.999982000018
CNGA4	18	1	17.999982000018
RASA1	18	1	17.999982000018
TRIM49C	17	1	16.999983000017
CNBD1	17	1	16.999983000017
CYP7B1	17	1	16.999983000017
PDE3B	17	1	16.999983000017
MANEA	17	1	16.999983000017
THOC2	17	1	16.999983000017
ERBB3	48	3	15.999994666668444
ATP8B1	16	1	15.999984000016001
BMPR2	16	1	15.999984000016001
IFI16	16	1	15.999984000016001
GABRG2	16	1	15.999984000016001
NUAK1	16	1	15.999984000016001
RGPD3	16	1	15.999984000016001
SOHLH2	16	1	15.999984000016001
KCNK10	16	1	15.999984000016001
SCN10A	47	3	15.666661444446184
DHX8	15	1	14.999985000015002
PRDM10	15	1	14.999985000015002
OR5M3	15	1	14.999985000015002
PIK3C3	15	1	14.999985000015002
RNF123	15	1	14.999985000015002
ZFYVE20	15	1	14.999985000015002
TTC13	15	1	14.999985000015002
PABPC3	15	1	14.999985000015002
ABI3BP	15	1	14.999985000015002
ARID1A	57	4	14.24999643750089
DENND2A	14	1	13.999986000014001
ZNF98	14	1	13.999986000014001
EIF4G3	14	1	13.999986000014001
UACA	14	1	13.999986000014001
SEMA3A	14	1	13.999986000014001
TMEM200A	14	1	13.999986000014001
SLC6A15	14	1	13.999986000014001
GPHN	14	1	13.999986000014001
OR51B5	14	1	13.999986000014001
ARHGEF2	14	1	13.999986000014001
HJURP	14	1	13.999986000014001
OR10S1	14	1	13.999986000014001
ITGAV	14	1	13.999986000014001
ATP8B2	14	1	13.999986000014001
RBBP6	14	1	13.999986000014001
IFI44L	14	1	13.999986000014001
FBXW7	27	2	13.499993250003374
MDC1	26	2	12.99999350000325
RNF43	13	1	12.999987000013
AP4E1	13	1	12.999987000013
KIF14	13	1	12.999987000013
SPTLC3	13	1	12.999987000013
HELB	13	1	12.999987000013
LARGE	13	1	12.999987000013
PLEKHM1	13	1	12.999987000013
BRD8	13	1	12.999987000013
BAP1	13	1	12.999987000013
PYHIN1	13	1	12.999987000013
GAS7	13	1	12.999987000013
RASAL2	13	1	12.999987000013
NOMO1	13	1	12.999987000013
FAM171A1	13	1	12.999987000013
GSDMC	13	1	12.999987000013
SLFN5	13	1	12.999987000013
SLC7A4	13	1	12.999987000013
OR52E8	13	1	12.999987000013
SCN3A	24	2	11.999994000003
PCDHGB3	24	2	11.999994000003
CEP250	24	2	11.999994000003
SLITRK6	24	2	11.999994000003
CPEB2	12	1	11.999988000012001
RPGRIP1	12	1	11.999988000012001
CBFA2T3	12	1	11.999988000012001
MRGPRX2	12	1	11.999988000012001
RPAP1	12	1	11.999988000012001
RPH3A	12	1	11.999988000012001
RPGRIP1L	12	1	11.999988000012001
PTCHD4	12	1	11.999988000012001
TARS2	12	1	11.999988000012001
GLTSCR1L	12	1	11.999988000012001
BIVM-ERCC5	12	1	11.999988000012001
SSTR4	12	1	11.999988000012001
APLP2	12	1	11.999988000012001
CAPN5	12	1	11.999988000012001
LRIG2	12	1	11.999988000012001
COL3A1	12	1	11.999988000012001
WDTC1	12	1	11.999988000012001
WIZ	12	1	11.999988000012001
MEP1A	12	1	11.999988000012001
GNAZ	12	1	11.999988000012001
UBE4A	12	1	11.999988000012001
NPAT	12	1	11.999988000012001
RBPJL	12	1	11.999988000012001
CD1E	12	1	11.999988000012001
CTCFL	12	1	11.999988000012001
XRRA1	12	1	11.999988000012001
RC3H2	12	1	11.999988000012001
LPP	12	1	11.999988000012001
CPXCR1	12	1	11.999988000012001
CXorf67	12	1	11.999988000012001
